id,name,min_players,max_players,play_time,image,age_range
144592,Bruxelles 1893,2,5,125,https://cf.geekdo-images.com/images/pic1726346.jpg,13
83330,Mansions of Madness,2,5,120,https://cf.geekdo-images.com/images/pic814011.jpg,13
18833,Lord of the Rings: The Confrontation,2,2,30,https://cf.geekdo-images.com/images/pic1680704.jpg,14
147949,One Night Ultimate Werewolf,3,10,10,https://cf.geekdo-images.com/images/pic1809823.jpg,8
100901,Flash Point: Fire Rescue,1,6,45,https://cf.geekdo-images.com/images/pic1129370.jpg,10
66362,Glen More,2,5,70,https://cf.geekdo-images.com/images/pic1013640.jpg,10
150658,Pandemic: The Cure,2,5,30,https://cf.geekdo-images.com/images/pic2225998.jpg,8
203420,Exit: The Game ? The Abandoned Cabin,1,6,90,https://cf.geekdo-images.com/images/pic3332426.jpg,12
182134,Evolution: Climate,2,6,60,https://cf.geekdo-images.com/images/pic2876816.jpg,12
5404,Amun-Re,3,5,90,https://cf.geekdo-images.com/images/pic2748305.jpg,12
65781,London,2,4,90,https://cf.geekdo-images.com/images/pic770317.jpg,13
73171,Earth Reborn,2,4,180,https://cf.geekdo-images.com/images/pic746581.jpg,13
136063,Forbidden Desert,2,5,45,https://cf.geekdo-images.com/images/pic1528722.jpg,10
102652,Sentinels of the Multiverse,1,5,60,https://cf.geekdo-images.com/images/pic1296144.jpg,8
172,For Sale,3,6,30,https://cf.geekdo-images.com/images/pic1513085.jpg,10
192458,51st State: Master Set,1,4,90,https://cf.geekdo-images.com/images/pic2945432.jpg,14
875,Roads & Boats,1,4,240,https://cf.geekdo-images.com/images/pic713985.jpg,14
17226,Descent: Journeys in the Dark,2,5,240,https://cf.geekdo-images.com/images/pic249300.jpg,12
27162,Kingsburg,2,5,90,https://cf.geekdo-images.com/images/pic253057.jpg,13
11170,Heroscape Master Set: Rise of the Valkyrie,2,4,90,https://cf.geekdo-images.com/images/pic244662.jpg,8
137408,Amerigo,2,4,90,https://cf.geekdo-images.com/images/pic1824151.jpg,10
146791,Shadows of Brimstone: City of the Ancients,1,4,120,https://cf.geekdo-images.com/images/pic2037825.jpg,12
98778,Hanabi,2,5,25,https://cf.geekdo-images.com/images/pic2007286.jpg,8
58421,Egizia,2,4,90,https://cf.geekdo-images.com/images/pic586431.jpg,12
97786,Small World Underground,2,5,90,https://cf.geekdo-images.com/images/pic979889.jpg,8
13,Catan,3,4,120,https://cf.geekdo-images.com/images/pic2419375.jpg,10
133038,Pathfinder Adventure Card Game: Rise of the Runelords ? Base Set,1,4,90,https://cf.geekdo-images.com/images/pic1775517.jpg,13
105551,Archipelago,2,5,240,https://cf.geekdo-images.com/images/pic1640388.jpg,14
128671,Spartacus: A Game of Blood & Treachery,3,4,150,https://cf.geekdo-images.com/images/pic1533071.jpg,17
138161,Firefly: The Game,1,5,240,https://cf.geekdo-images.com/images/pic1727008.png,13
63888,Innovation,2,4,60,https://cf.geekdo-images.com/images/pic2966859.png,12
36553,Time's Up! Title Recall!,4,18,60,https://cf.geekdo-images.com/images/pic3690447.jpg,12
151347,Millennium Blades,2,5,120,https://cf.geekdo-images.com/images/pic2468179.jpg,12
205359,Star Wars: Destiny,2,2,30,https://cf.geekdo-images.com/images/pic3363466.jpg,10
206718,Ethnos,2,6,60,https://cf.geekdo-images.com/images/pic3304124.png,14
171668,The Grizzled,2,5,30,https://cf.geekdo-images.com/images/pic3719610.png,10
166669,San Juan (second edition),2,4,60,https://cf.geekdo-images.com/images/pic2305703.jpg,10
34219,Biblios,2,4,30,https://cf.geekdo-images.com/images/pic759154.jpg,10
